Actual Energy,Predicted Energy
0.8298666666666666,1.9702711
0.4142666666666666,0.7597703
0.3079,0.46823874
0.3216,0.37062746
0.3041,0.35314184
0.9865,0.31192738
0.3200333333333333,0.9255064
0.3745666666666666,0.4147604
0.2969,0.6688523
1.5692666666666668,0.79705215
2.9396,1.9365315
1.5895333333333332,2.4406846
2.1982,1.4711788
2.1526666666666667,1.8791447
2.1775333333333333,1.7724111
1.635933333333334,1.8234622
1.3956666666666666,1.4357942
1.4408666666666667,1.2959769
1.4407,1.3718911
1.4709666666666663,1.4550613
0.7733666666666668,1.6587656
0.7121,1.2970037
1.1571333333333331,1.3578151
2.1186,1.4240748
1.2646666666666666,1.7652713
2.0786666666666664,1.0136157
0.8308,1.7140156
0.3194333333333333,0.68569076
0.3304999999999999,0.40295964
0.2869666666666666,0.41154876
0.2921333333333333,0.30206442
0.3372,0.33293143
0.3571666666666667,0.49234846
1.1429333333333331,0.7830639
1.964,1.6032455
2.0619666666666667,2.0333505
1.9386333333333328,1.9799643
2.6426000000000003,1.7833437
1.5028666666666666,2.1701355
3.924133333333333,1.4055412
3.271866666666667,3.0486774
4.173933333333333,2.5966024
2.005733333333333,3.3505957
1.6035666666666666,1.9341683
1.5794666666666666,1.7402964
1.5640666666666665,1.7833788
1.5280999999999998,1.8844739
1.5876666666666668,1.871723
1.6402000000000003,1.7045431
1.5538333333333334,1.5681286
1.5836333333333334,1.286991
1.5946,1.277637
0.9921333333333332,1.290331
0.5102,0.8406654
0.5337,0.51358706
0.48496666666666666,0.59626853
0.49853333333333333,0.60859436
0.48109999999999997,0.7698216
0.4838333333333333,0.88206947
0.486,0.96140146
0.4524666666666667,1.0137326
0.5283333333333334,1.0369958
1.4403,1.0571904
1.3994666666666666,1.7302287
1.5053333333333332,1.5437852
1.6248999999999998,1.5659833
1.8529999999999998,1.5577589
1.7702666666666669,1.7136352
1.976533333333333,1.6703584
1.8759666666666668,1.8576946
2.3949,1.8129123
2.2461,2.2565315
1.2611666666666668,2.1739495
0.8745999999999999,1.478616
0.8707666666666668,1.1949203
0.5692333333333334,1.0994256
0.2866999999999999,0.6767195
0.3025,0.40854868
0.359,0.47295168
0.3393,0.5357604
0.2951666666666667,0.5360502
1.0412,0.51121134
2.909333333333333,1.102891
1.4227666666666667,2.2345922
1.3833,1.2491177
1.4214999999999998,1.3608565
1.3868333333333331,1.3877021
1.4012,1.3678503
1.4034,1.3902651
1.4446333333333332,1.4107076
0.7568,1.4883629
0.3682666666666667,0.98234266
0.5431666666666667,0.8018985
1.5169,1.1681876
3.5081333333333333,2.09723
4.619633333333334,3.0108922
3.7538,3.0311303
2.6901,2.4647818
1.2293333333333334,1.8812131
0.3745666666666666,0.93716896
0.3866666666666666,0.35058028
0.3981666666666666,0.37180626
0.3794666666666667,0.2878407
0.44026666666666664,0.27654454
0.4183,0.5174569
0.9956333333333334,0.91797906
2.5009666666666663,1.790202
2.4614333333333334,2.47955
2.0040666666666667,2.0988164
1.5527333333333333,1.7309091
1.6532666666666669,1.4409695
1.4228,1.5396948
2.1619666666666664,1.3620682
1.8003666666666662,1.9273007
1.5436666666666667,1.634492
0.7285333333333334,1.537008
0.7314666666666667,0.9649207
0.8071333333333333,1.2670424
2.2343,1.6301315
1.7398,2.8467562
2.0071,2.109671
0.7555666666666668,1.8882638
0.4643666666666667,0.6740184
0.4307999999999999,0.50000674
0.3820666666666666,0.43987483
0.3785,0.3720179
0.3855666666666666,0.3706408
0.40953333333333325,0.43268538
1.0322666666666669,0.6072794
0.8018333333333333,1.3720946
1.3978333333333337,1.3183278
2.257366666666667,1.6624513
2.4321,2.0030427
1.7429,2.0218287
1.6329333333333331,1.6084051
4.059933333333333,1.5699052
2.0161,3.1174371
1.6626666666666667,1.8141972
1.855233333333333,1.673631
0.6354000000000001,1.7933997
1.3218666666666663,0.84649616
2.1710333333333334,1.7082187
1.8721999999999999,2.391457
3.1990666666666665,1.9642347
1.4457666666666666,2.6255655
0.3614,1.0826904
0.3583,0.35035017
0.3686,0.3955723
0.3077666666666667,0.3305188
0.9475666666666668,0.27329698
0.3155,0.9079351
0.2943333333333333,0.44029626
0.2955,0.68465096
1.0372333333333337,0.8037896
2.3838,1.4837923
1.8681333333333325,2.2176971
1.3786666666666667,1.7412974
1.3958666666666666,1.4174457
1.3963,1.4367127
1.4571333333333334,1.4325205
2.3109333333333333,1.4427954
1.9985666666666664,2.0732427
1.5628,1.8607969
1.2193,1.6172055
0.3348333333333333,1.5141534
0.9950666666666667,0.94059724
2.904333333333333,1.6665814
2.4950666666666668,2.7993908
1.1619333333333333,1.9364288
0.5781666666666666,0.95494837
0.3452,0.56826895
0.3402666666666666,0.37960577
0.3634333333333333,0.35616928
0.3091333333333333,0.3592577
0.5898,0.2879424
0.6547666666666667,0.6482106
0.2977999999999999,0.8869352
0.6326000000000002,0.8446483
2.7237666666666667,1.1967146
2.0765666666666664,2.3294618
2.2943333333333333,1.7518438
1.5958666666666663,1.9739937
2.097233333333333,1.5100981
1.2960333333333334,1.9260678
0.3747666666666667,1.3181757
0.7874666666666666,0.57507557
0.3170666666666666,0.9376288
1.4855666666666667,0.44082838
1.2898,1.6242898
0.6971000000000002,1.695468
2.703033333333333,1.5072703
2.478,2.572043
2.5050666666666666,1.8080623
2.692833333333333,1.8483487
1.9572333333333332,1.966102
1.4122333333333332,1.518263
1.4004333333333332,1.2109796
0.3367333333333333,1.2438093
0.3081,0.33137456
0.3177,0.38462466
